,REGION,TECHNOLOGY,FUEL,YEAR,value,energy_MWh,DiscountFactor,EnergyDiscounted_MWh
11074,Cuba,PWRCRUD002,ELC01,2021,278.5702285439995,278570.22854399955,1.2155062500000002,338603.8538591599
11075,Cuba,PWRCRUD002,ELC01,2022,278.57022854399975,278570.2285439997,1.1576250000000001,322479.8608182477
11076,Cuba,PWRCRUD002,ELC01,2023,278.57022854399975,278570.2285439997,1.1025,307123.6769697597
11077,Cuba,PWRCRUD002,ELC01,2024,278.5702285439998,278570.2285439998,1.05,292498.7399711998
11744,Cuba,PWRCRUD003,ELC01,2019,1787.0542963199994,1787054.2963199993,1.3400956406250002,2394823.6720586084
11745,Cuba,PWRCRUD003,ELC01,2020,1787.0542963199991,1787054.296319999,1.2762815625000004,2280784.449579627
11746,Cuba,PWRCRUD003,ELC01,2021,1787.054296319999,1787054.2963199988,1.2155062500000002,2172175.666266311
11747,Cuba,PWRCRUD003,ELC01,2022,1787.0542963199969,1787054.296319997,1.1576250000000001,2068738.7297774367
11748,Cuba,PWRCRUD003,ELC01,2023,1787.0542963199982,1787054.2963199983,1.1025,1970227.3616927983
11749,Cuba,PWRCRUD003,ELC01,2024,1787.0542963199994,1787054.2963199993,1.05,1876407.0111359993
12416,Cuba,PWRCRUD004,ELC01,2019,2027.1678172127993,2027167.8172127993,1.3400956406250002,2716598.7546621696
12417,Cuba,PWRCRUD004,ELC01,2020,2027.167817212799,2027167.817212799,1.2762815625000004,2587236.9092020663
12418,Cuba,PWRCRUD004,ELC01,2021,2027.1678172127984,2027167.8172127984,1.2155062500000002,2464035.1516210143
12419,Cuba,PWRCRUD004,ELC01,2022,2027.1678172127995,2027167.8172127996,1.1576250000000001,2346700.1444009673
12420,Cuba,PWRCRUD004,ELC01,2023,2027.1678172127993,2027167.8172127993,1.1025,2234952.518477111
12421,Cuba,PWRCRUD004,ELC01,2024,2027.1678172127984,2027167.8172127984,1.05,2128526.2080734386
13760,Cuba,PWRCRUD005,ELC01,2019,2081.3926510079996,2081392.6510079997,1.3400956406250002,2789265.2180447327
13761,Cuba,PWRCRUD005,ELC01,2020,2081.392651007999,2081392.6510079992,1.2762815625000004,2656443.064804507
13762,Cuba,PWRCRUD005,ELC01,2021,2081.392651007999,2081392.6510079992,1.2155062500000002,2529945.7760042925
13763,Cuba,PWRCRUD005,ELC01,2022,2081.3926510079987,2081392.6510079987,1.1576250000000001,2409472.167623135
13764,Cuba,PWRCRUD005,ELC01,2023,2081.392651007999,2081392.6510079992,1.1025,2294735.3977363193
13765,Cuba,PWRCRUD005,ELC01,2024,2081.3926510079987,2081392.6510079987,1.05,2185462.283558399
14432,Cuba,PWRCRUD006,ELC01,2019,1620.6129647999985,1620612.9647999986,1.3400956406250002,2171776.369268835
14433,Cuba,PWRCRUD006,ELC01,2020,1620.6129647999987,1620612.9647999988,1.2762815625000004,2068358.4469227006
14434,Cuba,PWRCRUD006,ELC01,2021,1620.6129647999996,1620612.9647999997,1.2155062500000002,1969865.1875454301
14435,Cuba,PWRCRUD006,ELC01,2022,1620.612964799999,1620612.964799999,1.1576250000000001,1876062.083376599
14436,Cuba,PWRCRUD006,ELC01,2023,1620.612964799998,1620612.964799998,1.1025,1786725.7936919979
14437,Cuba,PWRCRUD006,ELC01,2024,1620.6129647999985,1620612.9647999986,1.05,1701643.6130399986
15104,Cuba,PWRCRUD007,ELC01,2019,1597.8367825919934,1597836.7825919935,1.3400956406250002,2141254.106781807
15105,Cuba,PWRCRUD007,ELC01,2020,1597.836782591999,1597836.782591999,1.2762815625000004,2039289.62550649
15106,Cuba,PWRCRUD007,ELC01,2021,1597.8367825919988,1597836.7825919988,1.2155062500000002,1942180.5957204662
15107,Cuba,PWRCRUD007,ELC01,2022,1597.8367825920002,1597836.7825920002,1.1576250000000001,1849695.8054480643
15108,Cuba,PWRCRUD007,ELC01,2023,1597.8367825919984,1597836.7825919983,1.1025,1761615.0528076782
15109,Cuba,PWRCRUD007,ELC01,2024,1597.8367825919984,1597836.7825919983,1.05,1677728.6217215983
15782,Cuba,PWRCRUD008,ELC01,2025,14979.71983679999,14979719.83679999,1.0,14979719.83679999
15783,Cuba,PWRCRUD008,ELC01,2026,14609.60456224949,14609604.56224949,0.9523809523809523,13913909.106904274
15784,Cuba,PWRCRUD008,ELC01,2027,12906.900379755703,12906900.379755704,0.9070294784580498,11706939.119959822
15785,Cuba,PWRCRUD008,ELC01,2028,11129.461942088134,11129461.942088133,0.863837598531476,9614047.677000869
15786,Cuba,PWRCRUD008,ELC01,2029,9272.945865551816,9272945.865551816,0.8227024747918819,7628875.512200628
15787,Cuba,PWRCRUD008,ELC01,2030,7458.094911514928,7458094.911514928,0.7835261664684589,5843612.515177211
15788,Cuba,PWRCRUD008,ELC01,2031,6051.631370405203,6051631.370405203,0.7462153966366274,4515820.503365575
15789,Cuba,PWRCRUD008,ELC01,2032,4648.104904371518,4648104.904371519,0.7106813301301214,3303321.3760230914
15790,Cuba,PWRCRUD008,ELC01,2033,3740.1992279666015,3740199.2279666015,0.676839362028687,2531514.059317102
15791,Cuba,PWRCRUD008,ELC01,2034,3188.5419794262007,3188541.9794262005,0.6446089162177971,2055362.5896728728
15792,Cuba,PWRCRUD008,ELC01,2035,2845.6498624320825,2845649.8624320826,0.6139132535407591,1746982.1654834934
