REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,value
Atlantis,HYDRO_MIN,1,2038,0.0
Atlantis,HYDRO_MIN,1,2039,0.0
Atlantis,HYDRO_MIN,1,2040,0.0
Atlantis,DIESEL_GEN,1,2014,0.0
Atlantis,DIESEL_GEN,1,2015,0.0
Atlantis,DIESEL_GEN,1,2016,0.0
Atlantis,DIESEL_GEN,1,2017,0.0
Atlantis,DIESEL_GEN,1,2018,0.0
Atlantis,DIESEL_GEN,1,2019,0.0
Atlantis,DIESEL_GEN,1,2020,0.0
Atlantis,DIESEL_GEN,1,2021,0.0
Atlantis,DIESEL_GEN,1,2022,0.0
Atlantis,DIESEL_GEN,1,2023,0.0
Atlantis,DIESEL_GEN,1,2024,0.0
Atlantis,DIESEL_GEN,1,2025,0.0
Atlantis,DIESEL_GEN,1,2026,0.0
Atlantis,DIESEL_GEN,1,2027,0.0
Atlantis,DIESEL_GEN,1,2028,0.0
Atlantis,DIESEL_GEN,1,2029,0.0
Atlantis,DIESEL_GEN,1,2030,0.0
Atlantis,DIESEL_GEN,1,2031,0.0
Atlantis,DIESEL_GEN,1,2032,0.0
Atlantis,DIESEL_GEN,1,2033,0.0
Atlantis,DIESEL_GEN,1,2034,0.0
Atlantis,DIESEL_GEN,1,2035,0.0
Atlantis,DIESEL_GEN,1,2036,0.0
Atlantis,DIESEL_GEN,1,2037,0.0
Atlantis,DIESEL_GEN,1,2038,0.0
Atlantis,DIESEL_GEN,1,2039,0.0
Atlantis,DIESEL_GEN,1,2040,0.0
Atlantis,CSP,1,2014,0.0
Atlantis,CSP,1,2015,0.0
Atlantis,CSP,1,2016,0.0
Atlantis,CSP,1,2017,0.0
Atlantis,CSP,1,2018,0.0
Atlantis,CSP,1,2019,0.0
Atlantis,CSP,1,2020,0.0
Atlantis,CSP,1,2021,0.0
Atlantis,CSP,1,2022,0.0
Atlantis,CSP,1,2023,0.0
Atlantis,CSP,1,2024,0.0
Atlantis,CSP,1,2025,0.0
Atlantis,CSP,1,2026,0.0
Atlantis,CSP,1,2027,0.0
Atlantis,CSP,1,2028,0.0
Atlantis,CSP,1,2029,0.0
Atlantis,CSP,1,2030,0.0
Atlantis,CSP,1,2031,0.0
Atlantis,CSP,1,2032,0.0
Atlantis,CSP,1,2033,0.0
Atlantis,CSP,1,2034,0.0
Atlantis,CSP,1,2035,0.0
Atlantis,CSP,1,2036,0.0
Atlantis,CSP,1,2037,0.0
Atlantis,CSP,1,2038,0.0
Atlantis,CSP,1,2039,0.0
Atlantis,CSP,1,2040,0.0
Atlantis,PV_UTL,1,2014,0.0
Atlantis,PV_UTL,1,2015,0.0
Atlantis,PV_UTL,1,2016,0.0
Atlantis,PV_UTL,1,2017,0.0
Atlantis,PV_UTL,1,2018,0.0
Atlantis,PV_UTL,1,2019,0.0
Atlantis,PV_UTL,1,2020,0.0
Atlantis,PV_UTL,1,2021,0.0
Atlantis,PV_UTL,1,2022,0.0
Atlantis,PV_UTL,1,2023,0.0
Atlantis,PV_UTL,1,2024,0.0
Atlantis,PV_UTL,1,2025,0.0
Atlantis,PV_UTL,1,2026,0.0
Atlantis,PV_UTL,1,2027,0.0
Atlantis,PV_UTL,1,2028,0.0
Atlantis,PV_UTL,1,2029,0.0
Atlantis,PV_UTL,1,2030,0.0
Atlantis,PV_UTL,1,2031,0.0
Atlantis,PV_UTL,1,2032,0.0
Atlantis,PV_UTL,1,2033,0.0
Atlantis,PV_UTL,1,2034,0.0
Atlantis,PV_UTL,1,2035,0.0
Atlantis,PV_UTL,1,2036,0.0
Atlantis,PV_UTL,1,2037,0.0
Atlantis,PV_UTL,1,2038,0.0
Atlantis,PV_UTL,1,2039,0.0
Atlantis,PV_UTL,1,2040,0.0
Atlantis,PV_ROF,1,2014,0.0
Atlantis,PV_ROF,1,2015,0.0
Atlantis,PV_ROF,1,2016,0.0
Atlantis,PV_ROF,1,2017,0.0
Atlantis,PV_ROF,1,2018,0.0
Atlantis,PV_ROF,1,2019,0.0
Atlantis,PV_ROF,1,2020,0.0
Atlantis,PV_ROF,1,2021,0.0
Atlantis,PV_ROF,1,2022,0.0
Atlantis,PV_ROF,1,2023,0.0
Atlantis,PV_ROF,1,2024,0.0
Atlantis,PV_ROF,1,2025,0.0
Atlantis,PV_ROF,1,2026,0.0
Atlantis,PV_ROF,1,2027,0.0
Atlantis,PV_ROF,1,2028,0.0
Atlantis,PV_ROF,1,2029,0.0
Atlantis,PV_ROF,1,2030,0.0
Atlantis,PV_ROF,1,2031,0.0
Atlantis,PV_ROF,1,2032,0.0
Atlantis,PV_ROF,1,2033,0.0
Atlantis,PV_ROF,1,2034,0.0
Atlantis,PV_ROF,1,2035,0.0
Atlantis,PV_ROF,1,2036,0.0
Atlantis,PV_ROF,1,2037,0.0
Atlantis,PV_ROF,1,2038,0.0
Atlantis,PV_ROF,1,2039,0.0
Atlantis,PV_ROF,1,2040,0.0
Atlantis,WIND,1,2014,0.0
Atlantis,WIND,1,2015,0.0
Atlantis,WIND,1,2016,0.0
Atlantis,WIND,1,2017,0.0
Atlantis,WIND,1,2018,0.0
Atlantis,WIND,1,2019,0.9999999999999999
Atlantis,WIND,1,2020,1.0611148920218458
Atlantis,WIND,1,2021,1.3948434920995987
Atlantis,WIND,1,2022,1.5
Atlantis,WIND,1,2023,1.5
Atlantis,WIND,1,2024,1.5
Atlantis,WIND,1,2025,1.5
Atlantis,WIND,1,2026,1.835402040540703
Atlantis,WIND,1,2027,2.0
Atlantis,WIND,1,2028,2.0
Atlantis,WIND,1,2029,1.9999999999999998
Atlantis,WIND,1,2030,1.9999999999999998
Atlantis,WIND,1,2031,1.9999999999999993
Atlantis,WIND,1,2032,1.9999999999999998
Atlantis,WIND,1,2033,1.9999999999999998
Atlantis,WIND,1,2034,1.9999999999999998
Atlantis,WIND,1,2035,2.0
Atlantis,WIND,1,2036,2.0
Atlantis,WIND,1,2037,1.9999999999999998
Atlantis,WIND,1,2038,2.0
Atlantis,WIND,1,2039,2.0
Atlantis,WIND,1,2040,1.9999999999999998
Atlantis,NGCC,1,2014,0.0
Atlantis,NGCC,1,2015,0.0
Atlantis,NGCC,1,2016,0.0
Atlantis,NGCC,1,2017,0.0
Atlantis,NGCC,1,2018,0.0
Atlantis,NGCC,1,2019,0.009578158896747757
Atlantis,NGCC,1,2020,0.004789079448374043
Atlantis,NGCC,1,2021,0.15212869739012874
Atlantis,NGCC,1,2022,0.18199566376896284
Atlantis,NGCC,1,2023,0.22391396850244408
Atlantis,NGCC,1,2024,0.2421872274391939
Atlantis,NGCC,1,2025,0.3923615682122222
Atlantis,NGCC,1,2026,0.21658509212262103
Atlantis,NGCC,1,2027,0.22631530032071726
Atlantis,NGCC,1,2028,0.252001592576703
Atlantis,NGCC,1,2029,0.4620357823695491
Atlantis,NGCC,1,2030,0.6920239548105269
Atlantis,NGCC,1,2031,0.2641867444455748
Atlantis,NGCC,1,2032,0.25038254195133536
Atlantis,NGCC,1,2033,0.27567508513185424
Atlantis,NGCC,1,2034,0.2873468163201356
Atlantis,NGCC,1,2035,0.29891975703645185
Atlantis,NGCC,1,2036,0.31104217294951875
Atlantis,NGCC,1,2037,0.32376273613487855
Atlantis,NGCC,1,2038,0.3372944456003546
Atlantis,NGCC,1,2039,0.3514243022790165
Atlantis,NGCC,1,2040,0.36600484374157083
Atlantis,NUCLEAR,1,2014,0.0
Atlantis,NUCLEAR,1,2015,0.0
Atlantis,NUCLEAR,1,2016,0.0
Atlantis,NUCLEAR,1,2017,0.0
Atlantis,NUCLEAR,1,2018,1.0
Atlantis,NUCLEAR,1,2019,1.0000000000000002
Atlantis,NUCLEAR,1,2020,2.0000000000000004
Atlantis,NUCLEAR,1,2021,2.0
Atlantis,NUCLEAR,1,2022,1.9999999999999991
Atlantis,NUCLEAR,1,2023,2.000000000000001
Atlantis,NUCLEAR,1,2024,1.9999999999999996
Atlantis,NUCLEAR,1,2025,2.0000000000000004
Atlantis,NUCLEAR,1,2026,1.9999999999999993
Atlantis,NUCLEAR,1,2027,2.0
Atlantis,NUCLEAR,1,2028,2.0000000000000004
Atlantis,NUCLEAR,1,2029,2.0
Atlantis,NUCLEAR,1,2030,2.0
Atlantis,NUCLEAR,1,2031,3.000000000000003
Atlantis,NUCLEAR,1,2032,3.0000000000000027
Atlantis,NUCLEAR,1,2033,3.0000000000000044
Atlantis,NUCLEAR,1,2034,3.000000000000003
Atlantis,NUCLEAR,1,2035,3.0000000000000036
Atlantis,NUCLEAR,1,2036,3.000000000000002
Atlantis,NUCLEAR,1,2037,3.0000000000000036
Atlantis,NUCLEAR,1,2038,3.0000000000000036
Atlantis,NUCLEAR,1,2039,3.0000000000000027
Atlantis,NUCLEAR,1,2040,3.0000000000000036
Atlantis,TRANS,1,2014,6.315499466194064
Atlantis,TRANS,1,2015,6.347005644108273
Atlantis,TRANS,1,2016,6.489827633878939
Atlantis,TRANS,1,2017,6.688309628355864
Atlantis,TRANS,1,2018,6.9340498403274795
Atlantis,TRANS,1,2019,7.320742000188991
Atlantis,TRANS,1,2020,7.552829045320466
Atlantis,TRANS,1,2021,7.825873492037752
Atlantis,TRANS,1,2022,8.110470134062961
Atlantis,TRANS,1,2023,8.41922060294298
Atlantis,TRANS,1,2024,8.619803569024224
Atlantis,TRANS,1,2025,8.769977909797253
Atlantis,TRANS,1,2026,8.929603474248355
Atlantis,TRANS,1,2027,9.10393164190575
Atlantis,TRANS,1,2028,9.292962412727382
Atlantis,TRANS,1,2029,9.502996602520227
Atlantis,TRANS,1,2030,9.732984774961206
Atlantis,TRANS,1,2031,9.974523043777001
Atlantis,TRANS,1,2032,10.219213819375963
Atlantis,TRANS,1,2033,10.469153875574026
Atlantis,TRANS,1,2034,10.721194903349652
Atlantis,TRANS,1,2035,10.97743787419743
Atlantis,TRANS,1,2036,11.245230941464355
Atlantis,TRANS,1,2037,11.527726611937574
Atlantis,TRANS,1,2038,11.824924885560256
Atlantis,TRANS,1,2039,12.136825762330123
Atlantis,TRANS,1,2040,12.464478678650396
Atlantis,DIST_IND,1,2014,2.229543199669285
Atlantis,DIST_IND,1,2015,2.2409342703596526
Atlantis,DIST_IND,1,2016,2.289605208763952
Atlantis,DIST_IND,1,2017,2.3579516329061607
Atlantis,DIST_IND,1,2018,2.4428668871434485
Atlantis,DIST_IND,1,2019,2.5267465894997936
Atlantis,DIST_IND,1,2020,2.606484084332369
Atlantis,DIST_IND,1,2021,2.7007193054981404
Atlantis,DIST_IND,1,2022,2.7990967341876813
Atlantis,DIST_IND,1,2023,2.9057585779247628
Atlantis,DIST_IND,1,2024,2.9751405539479134
Atlantis,DIST_IND,1,2025,3.026918147995039
Atlantis,DIST_IND,1,2026,3.081802397684994
Atlantis,DIST_IND,1,2027,3.1418644067796615
Atlantis,DIST_IND,1,2028,3.2071041752790417
Atlantis,DIST_IND,1,2029,3.2795928069450193
Atlantis,DIST_IND,1,2030,3.3593303017775953
Atlantis,DIST_IND,1,2031,3.4421744522529973
Atlantis,DIST_IND,1,2032,3.5270897064902864
Atlantis,DIST_IND,1,2033,3.6130405126085163
Atlantis,DIST_IND,1,2034,3.7000268706076898
Atlantis,DIST_IND,1,2035,3.789084332368748
Atlantis,DIST_IND,1,2036,3.8812484497726345
Atlantis,DIST_IND,1,2037,3.978590326581232
Atlantis,DIST_IND,1,2038,4.081109962794543
Atlantis,DIST_IND,1,2039,4.188807358412568
Atlantis,DIST_IND,1,2040,4.301682513435304
Atlantis,DIST_TRA,1,2014,0.25423728813559326
Atlantis,DIST_TRA,1,2015,0.2552707730467136
Atlantis,DIST_TRA,1,2016,0.26147168251343533
Atlantis,DIST_TRA,1,2017,0.2687060768912774
Atlantis,DIST_TRA,1,2018,0.2790409260024805
Atlantis,DIST_TRA,1,2019,0.28834229020256313
Atlantis,DIST_TRA,1,2020,0.2976436544026458
Atlantis,DIST_TRA,1,2021,0.30797850351384876
Atlantis,DIST_TRA,1,2022,0.31934683753617205
Atlantis,DIST_TRA,1,2023,0.3317486564696156
Atlantis,DIST_TRA,1,2024,0.3389830508474577
Atlantis,DIST_TRA,1,2025,0.3451839603141795
Atlantis,DIST_TRA,1,2026,0.3513848697809013
Atlantis,DIST_TRA,1,2027,0.3586192641587433
Atlantis,DIST_TRA,1,2028,0.36585365853658547
Atlantis,DIST_TRA,1,2029,0.3741215378255478
Atlantis,DIST_TRA,1,2030,0.3834229020256305
Atlantis,DIST_TRA,1,2031,0.39272426622571316
Atlantis,DIST_TRA,1,2032,0.40202563042579587
Atlantis,DIST_TRA,1,2033,0.41236047953699884
Atlantis,DIST_TRA,1,2034,0.4216618437370814
Atlantis,DIST_TRA,1,2035,0.4319966928482844
Atlantis,DIST_TRA,1,2036,0.4423315419594874
Atlantis,DIST_TRA,1,2037,0.45369987598181055
Atlantis,DIST_TRA,1,2038,0.465068210004134
Atlantis,DIST_TRA,1,2039,0.4774700289375777
Atlantis,DIST_TRA,1,2040,0.49090533278214143
Atlantis,DIST_RES,1,2014,2.288135593220783
Atlantis,DIST_RES,1,2015,2.2995039272423687
Atlantis,DIST_RES,1,2016,2.3501446878846406
Atlantis,DIST_RES,1,2017,2.420421661844532
